,,,,,,,% of FGA by Distance,,,,,,,FG% by Distance,,,,,,,% of FG Ast'd,,,Dunks,,,Layups,,,Corner,,,Heaves,
Rk,Team,G,MP,FG%,Dist.,,2P,0-3,10-Mar,16-Oct,16-3P,3P,,2P,0-3,10-Mar,16-Oct,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%,,Att.,Md.
1,Atlanta Hawks*,82,19855,0.483,13.2,,0.669,0.25,0.186,0.133,0.091,0.331,,0.548,0.696,0.44,0.486,0.439,0.352,,0.488,0.755,,0.064,450,,0.242,1022,,0.262,0.364,,8,0
2,Boston Celtics*,82,19980,0.475,15.3,,0.52,0.21,0.192,0.063,0.048,0.48,,0.567,0.732,0.466,0.463,0.39,0.377,,0.509,0.814,,0.051,335,,0.272,1166,,0.223,0.403,,12,0
3,Brooklyn Nets*,82,19730,0.487,14.6,,0.603,0.222,0.177,0.122,0.082,0.397,,0.559,0.701,0.459,0.489,0.494,0.378,,0.525,0.82,,0.059,373,,0.222,891,,0.243,0.392,,6,0
4,Chicago Bulls*,82,19905,0.49,13.6,,0.667,0.281,0.146,0.116,0.125,0.333,,0.555,0.683,0.474,0.464,0.446,0.361,,0.474,0.886,,0.054,329,,0.273,1163,,0.262,0.397,,4,0
5,Charlotte Hornets,82,19830,0.457,13.1,,0.64,0.287,0.208,0.087,0.058,0.36,,0.528,0.688,0.384,0.439,0.385,0.33,,0.536,0.817,,0.073,482,,0.287,1149,,0.261,0.354,,10,0
6,Cleveland Cavaliers*,82,19880,0.488,13.2,,0.629,0.278,0.196,0.092,0.054,0.371,,0.559,0.717,0.44,0.45,0.378,0.367,,0.545,0.715,,0.084,536,,0.239,982,,0.238,0.367,,12,0
7,Dallas Mavericks,82,19930,0.475,15.6,,0.513,0.218,0.169,0.08,0.046,0.487,,0.574,0.708,0.499,0.47,0.396,0.371,,0.448,0.776,,0.05,304,,0.226,937,,0.271,0.403,,26,1
8,Denver Nuggets*,82,19755,0.504,13.2,,0.639,0.258,0.213,0.083,0.077,0.361,,0.575,0.758,0.477,0.401,0.421,0.379,,0.597,0.808,,0.08,509,,0.279,1188,,0.251,0.407,,27,2
9,Detroit Pistons,82,19805,0.454,13.8,,0.628,0.217,0.224,0.111,0.068,0.372,,0.516,0.677,0.431,0.432,0.413,0.351,,0.466,0.832,,0.06,396,,0.249,942,,0.264,0.372,,13,0
10,Golden State Warriors*,82,19830,0.479,16,,0.521,0.177,0.21,0.069,0.065,0.479,,0.564,0.71,0.54,0.407,0.413,0.385,,0.606,0.828,,0.056,374,,0.273,1213,,0.199,0.395,,23,1
11,Houston Rockets,82,19755,0.457,13,,0.641,0.259,0.262,0.07,0.049,0.359,,0.53,0.678,0.436,0.448,0.366,0.327,,0.477,0.766,,0.084,523,,0.324,1229,,0.173,0.361,,14,0
12,Indiana Pacers,82,19755,0.469,13.9,,0.587,0.266,0.189,0.08,0.045,0.413,,0.54,0.679,0.425,0.414,0.402,0.367,,0.547,0.817,,0.048,323,,0.306,1246,,0.224,0.386,,17,2
